Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26)
8.90281375558836e-05,0.05595639656,0.054,0.0,0.0,0.00047894062364738175,0.8614116050814913,0.007924891048216429,0.0021704253267109874,3.9887379112651766e-08,0.06071603606509252,0.0,0.02831103538171235,1.5845482185754964e-07,7.421342449997126e-11,5.842122720709499e-07,3.050691461767655e-08,4.109088005989991e-09,2.7358070889690488e-09,1.1009516800125623e-06,3.961078981380185e-06,0.0009368555958314356,1.1906803537613232e-09,1.9010612224800004e-07
8.951610180569127e-05,0.05595639656,0.054,0.0,0.0,0.0004787795640660017,0.8614037556795319,0.007940428596133375,0.0021754228491535172,4.0132839304965733e-08,0.06070567803094197,0.0,0.0283108336378036,1.58410909623928e-07,7.416520238357125e-11,5.839135827793639e-07,3.049029173588218e-08,4.10797823474737e-09,2.739952589992434e-09,1.1010151880170446e-06,3.961279256724798e-06,0.0009372181469707142,1.1911558718144429e-09,1.902497002717402e-07
9.000406605549894e-05,0.05595639656,0.054,0.0,0.0,0.0004786205795666537,0.8613959115941091,0.007955957572282476,0.002180420931857977,4.037823436736191e-08,0.06069532570829118,0.0,0.02831063666269384,1.5836740226192716e-07,7.411752499497426e-11,5.836175766796444e-07,3.0473823309633766e-08,4.1068789355482434e-09,2.7441038768578283e-09,1.1010749927448592e-06,3.9614668722130536e-06,0.0009375738807143109,1.1916308135641315e-09,1.9039255776886428e-07
9.04920303053066e-05,0.05595639656,0.054,0.0,0.0,0.00047846361291373484,0.8613880727562863,0.007971478057325893,0.002185419541351626,4.062356235971711e-08,0.06068497904344695,0.0,0.028310444392895432,1.5832428892805678e-07,7.407037722461707e-11,5.83324181105968e-07,3.0457505136339454e-08,4.105789827726927e-09,2.7482607133239056e-09,1.1011311198503438e-06,3.961641911649412e-06,0.0009379229176800307,1.1921050705474297e-09,1.90534695390902e-07
9.097999455511427e-05,0.05595639656,0.054,0.0,0.0,0.0004783086085374954,0.8613802390990422,0.007986990129767054,0.0021904186443935697,4.086882137958609e-08,0.06067463798415282,0.0,0.02831025676515204,1.5828155908906335e-07,7.402374441386321e-11,5.830333255217354e-07,3.044133313723142e-08,4.104710638646245e-09,2.7524228695733358e-09,1.101183595995229e-06,3.961804462477444e-06,0.000938265376577248,1.1925785398575443e-09,1.906761141474654e-07
9.146795880492194e-05,0.05595639656,0.054,0.0,0.0,0.00047815551248307905,0.8613724105572157,0.008002493866013392,0.002195418207984015,4.111400956159898e-08,0.06066430247954736,0.0,0.028310073716466648,1.5823920251261223e-07,7.397761234076603e-11,5.827449414539895e-07,3.042530335352336e-08,4.103641103456439e-09,2.756590122030836e-09,1.1012324487834997e-06,3.961954615549713e-06,0.0009386013742305523,1.1930511239288492e-09,1.9081681538836008e-07
9.195592305472961e-05,0.05595639656,0.054,0.0,0.0,0.0004780042723612316,0.8613645870674485,0.00801798934043712,0.0022004181993729266,4.13591250768661e-08,0.060653972480123705,0.0,0.028309895184127888,1.5819720925826904e-07,7.393196720631737e-11,5.824589624299951e-07,3.040941194269607e-08,4.102580964861825e-09,2.760762253186808e-09,1.101277706698843e-06,3.9620924649067855e-06,0.000938931025603268,1.1935227303294828e-09,1.909568007863517e-07
9.244388730453728e-05,0.05595639656,0.054,0.0,0.0,0.0004778548373006184,0.8613567685681329,0.008033476625434126,0.0022054185860681265,4.1604166132390356e-08,0.06064364793769039,0.0,0.02830972110573488,1.5815556966876867e-07,7.388679562116334e-11,5.821753239159013e-07,3.0393655174905944e-08,4.101529972894872e-09,2.7649390514263326e-09,1.1013193990446184e-06,3.962218107565082e-06,0.0009392544438208485,1.1939932715613045e-09,1.9109607232056897e-07
9.293185155434495e-05,0.05595639656,0.054,0.0,0.0,0.00047770715790169336,0.8613489549993599,0.00804895579148113,0.0022104193358428556,4.1849130970486916e-08,0.06063332880533326,0.0,0.028309551419220702,1.5811427436156215e-07,7.384208459276983e-11,5.818939632574091e-07,3.037802942951258e-08,4.1004878846975015e-09,2.769120310863382e-09,1.1013575558862339e-06,3.962331643313231e-06,0.0009395717401941381,1.1944626648669056e-09,1.912346322605196e-07
9.341981580415262e-05,0.05595639656,0.054,0.0,0.0,0.00047756118619206333,0.8613411463028691,0.00806442690719103,0.002215420416742804,4.209401786821028e-08,0.06062301503737868,0.0,0.028309386062874406,1.580733142206324e-07,7.379782151302042e-11,5.816148196223768e-07,3.036253119172046e-08,4.0994544643093065e-09,2.7733058311800435e-09,1.1013922079958784e-06,3.9624331745166755e-06,0.0009398830242425055,1.1949308320434795e-09,1.9137248315070186e-07
