Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76)
3.6275646487391965e-10,0.05595639656,0.054,0.0,0.0,0.02968191048898135,0.8799770560482353,9.77647500544827e-09,0.0,0.0,0.06599361069196079,0.0,4.5873566407052614e-05,1.4401382152184873e-06,2.649367358853071e-06,4.334959012930722e-06,6.091672830775315e-07,4.380142129821936e-09,1.5145712216157215e-10,5.0144787937657174e-09,2.9049161643289673e-11
3.666521726304634e-10,0.05595639656,0.054,0.0,0.0,0.02968136250901589,0.8799768100929337,1.0094233673662325e-08,0.0,0.0,0.06599356326493507,0.0,4.6365095301831606e-05,1.436053203135887e-06,2.658327453860188e-06,4.379657468478518e-06,6.158603244461e-07,4.43893352720741e-09,1.5560194031649028e-10,5.134005985938412e-09,3.006287703865965e-11
3.705478803870072e-10,0.05595639656,0.054,0.0,0.0,0.029680814692201928,0.8799765641467809,1.0418776694662196e-08,0.0,0.0,0.0659935159217578,0.0,4.6856598904282036e-05,1.432003762540353e-06,2.6672333280320376e-06,4.4242749912662535e-06,6.225138733421492e-07,4.497849224314666e-09,1.5981184465429e-10,5.2545176878771866e-09,3.1097349455776746e-11
3.7444358814355097e-10,0.05595639656,0.054,0.0,0.0,0.029680267036668904,0.8799763182097742,1.075018066674794e-08,0.0,0.0,0.0659934686613443,0.0,4.7348077145057176e-05,1.4279900236337673e-06,2.6760858380811896e-06,4.468812090993906e-06,6.291283859311795e-07,4.556887352508935e-09,1.640870644308371e-10,5.376002440394541e-09,3.215269347049398e-11
3.7833929590009474e-10,0.05595639656,0.054,0.0,0.0,0.029679719540660256,0.8799760722819105,1.1088522278142034e-08,0.0,0.0,0.06599342148266689,0.0,4.7839529954695335e-05,1.4240120634890377e-06,2.68488578396284e-06,4.513269275266472e-06,6.357043162574481e-07,4.616046017518489e-09,1.684278205100125e-10,5.4984490361678054e-09,3.32290222965949e-11
3.822350036566385e-10,0.05595639656,0.054,0.0,0.0,0.029679172202524712,0.8799758263631875,1.143387829588517e-08,0.0,0.0,0.06599337438475078,0.0,4.8330957263631853e-05,1.4200699113116331e-06,2.693633913232368e-06,4.557647049130627e-06,6.422421157919022e-07,4.675323302161688e-09,1.7283432540591404e-10,5.621846513288022e-09,3.432644782509126e-11
3.861307114131823e-10,0.05595639656,0.054,0.0,0.0,0.029678625020708272,0.8799755804536022,1.1786325554948304e-08,0.0,0.0,0.0659933273666698,0.0,4.882235900221069e-05,1.4161635532485986e-06,2.702330925057839e-06,4.601945914665788e-06,6.487422330337457e-07,4.7347172689113794e-09,1.7730678332873545e-10,5.746184148964145e-09,3.544508066221388e-11
3.9002641916972607e-10,0.05595639656,0.054,0.0,0.0,0.029678077993746804,0.8799753345531516,1.2145940947556694e-08,0.0,0.0,0.0659932804275429,0.0,4.931373510069571e-05,1.412292936782201e-06,2.7109774739146006e-06,4.646166370624562e-06,6.55205113160647e-07,4.794225962303251e-09,1.8184539023385038e-10,5.871451453385449e-09,3.658503016641052e-11
3.9392212692626984e-10,0.05595639656,0.054,0.0,0.0,0.029677531120259282,0.8799750886618332,1.2512801412721257e-08,0.0,0.0,0.0659932335665308,0.0,4.980508548928164e-05,1.4084579747424171e-06,2.7195741729870916e-06,4.69030891211791e-06,6.616311977230199e-07,4.853847411194842e-09,1.864503338736541e-10,5.997638163744759e-09,3.7746404483725365e-11
3.978178346828136e-10,0.05595639656,0.054,0.0,0.0,0.029676984398941467,0.8799748427796441,1.2886983925972407e-08,0.0,0.0,0.06599318678283272,0.0,5.029641009810482e-05,1.4046585489697128e-06,2.728121597300971e-06,4.734374030340902e-06,6.680209243782195e-07,4.91357963088193e-09,1.9112179385173439e-10,6.1247342384231705e-09,3.892931058177214e-11
4.017135424393574e-10,0.05595639656,0.054,0.0,0.0,0.02967643782856021,0.8799745969065821,1.3268565489291307e-08,0.0,0.0,0.06599314007568362,0.0,5.078770885725366e-05,1.4008945136570815e-06,2.736620286606953e-06,4.778362212335157e-06,6.743747266608502e-07,4.973420625078916e-09,1.958599416789838e-10,6.252729851335745e-09,4.013385428287138e-11
4.0560925019590116e-10,0.05595639656,0.054,0.0,0.0,0.029675891407948074,0.8799743510426439,1.3657623121233251e-08,0.0,0.0,0.06599309344435146,0.0,5.1278981696778785e-05,1.3971656983979463e-06,2.74507074803603e-06,4.822273940784505e-06,6.806930337857233e-07,5.033368387769776e-09,2.006649408313233e-10,6.381615386437611e-09,4.1360140296091216e-11
