Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14)
8.626779844176778e-10,0.05595639656,0.054,0.0,0.0,0.029612699781212375,0.8799455674053317,1.304985468829196e-07,0.0,0.0,0.0659880499789491,0.0,0.00010872122060494251,1.1388299638145297e-06,3.442798382150337e-06,9.521368253472007e-06,1.2898228336507983e-06,1.226021370772536e-08,1.2099707461765153e-09
8.743783498546889e-10,0.05595639656,0.054,0.0,0.0,0.029611103306443162,0.8799448321968809,1.3579802404307053e-07,0.0,0.0,0.06598792979374923,0.0,0.00011018612229487466,1.1352682172351422e-06,3.453970527122184e-06,9.632322905531104e-06,1.3026151280108512e-06,1.2439939795085128e-08,1.2459791267813345e-09
8.860787152917e-10,0.05595639656,0.054,0.0,0.0,0.029609507813060057,0.8799440970682927,1.412308521488052e-07,0.0,0.0,0.06598780998168441,0.0,0.00011165073125299645,1.131815649433553e-06,3.46482749723639e-06,9.74287405068193e-06,1.3153286155114737e-06,1.2618938960530502e-08,1.2823699810488157e-09
8.977790807287112e-10,0.05595639656,0.054,0.0,0.0,0.029607913296030217,0.8799433620195143,1.4679793538210187e-07,0.0,0.0,0.06598769053838659,0.0,0.00011311504671867468,1.1284701598365468e-06,3.4753707554378645e-06,9.853025496006357e-06,1.327965957578998e-06,1.2797185424480149e-08,1.3191316840611084e-09
9.094794461657223e-10,0.05595639656,0.054,0.0,0.0,0.02960631975032898,0.8799426270504925,1.5250013390251702e-07,0.0,0.0,0.06598757145956298,0.0,0.00011457906797426967,1.1252297192747605e-06,3.485601788027625e-06,9.962780969990567e-06,1.3405297477805874e-06,1.2974654059916938e-08,1.3562524717436868e-09
9.211798116027335e-10,0.05595639656,0.054,0.0,0.0,0.02960472717093521,0.8799418921611749,1.5833826366772682e-07,0.0,0.0,0.0659874527409935,0.0,0.00011604279434530833,1.1220923664288308e-06,3.4955221069742943e-06,1.007214412550889e-05,1.3530225145868936e-06,1.3151320387991749e-08,1.3937204525036232e-09
9.328801770397445e-10,0.05595639656,0.054,0.0,0.0,0.029603135552826846,0.8799411573515095,1.6431309629207414e-07,0.0,0.0,0.0659873343785289,0.0,0.00011750622520061838,1.1190562044770788e-06,3.5051332520695855e-06,1.0181118542658475e-05,1.3654467239940021e-06,1.332716057383487e-08,1.4315236188209072e-09
9.445805424767555e-10,0.05595639656,0.054,0.0,0.0,0.029601544890976817,0.8799404226214436,1.7042535894282297e-07,0.0,0.0,0.0659872163680886,0.0,0.00011896935995242437,1.1161193979317468e-06,3.514436792932298e-06,1.0289707731453692e-05,1.3778047820130891e-06,1.3502151422550695e-08,1.4696498587791995e-09
9.562809079137666e-10,0.05595639656,0.054,0.0,0.0,0.029599955180349163,0.8799396879709258,1.7667573427378246e-07,0.0,0.0,0.06598709870565896,0.0,0.000120432198056406,1.1132801696517221e-06,3.52343433086518e-06,1.0397915134388474e-05,1.3900990370356597e-06,1.3676270375371379e-08,1.508086967526893e-09
9.679812733507776e-10,0.05595639656,0.054,0.0,0.0,0.029598366415895427,0.8799389533999048,1.8306486039592517e-07,0.0,0.0,0.06598698138729105,0.0,0.0001218947390117186,1.1105367980204451e-06,3.532127500568795e-06,1.05057441288743e-05,1.4023317820816713e-06,1.3849495505947807e-08,1.5468226586616113e-09
9.796816387877887e-10,0.05595639656,0.054,0.0,0.0,0.029596778592551293,0.8799382189083289,1.8959333088459497e-07,0.0,0.0,0.06598686440909927,0.0,0.0001233569823609773,1.107887614278442e-06,3.5405179717163107e-06,1.0613198029561023e-05,1.4145052569373722e-06,1.4021805516755775e-08,1.585844575529284e-09
9.913820042247997e-10,0.05595639656,0.054,0.0,0.0,0.029595191705233486,0.8799374844961475,1.9626169482286635e-07,0.0,0.0,0.0659867477672593,0.0,0.0001248189276902041,1.105331000000671e-06,3.548607450393006e-06,1.0720280090547146e-05,1.426621650189195e-06,1.419317973559803e-08,1.6251403024264792e-09
9.999999999999999e-10,0.05595639656,0.054,0.0,0.0,0.029594023466601165,0.8799369436098509,2.012630937368864e-07,0.0,0.0,0.06598666206671007,0.0,0.00012589554415639448,1.103506189437906e-06,3.5543743390491343e-06,1.0798916281981518e-05,1.4355108185442533e-06,1.4318796563467794e-08,1.6542517200828435e-09
1.0030823696618107e-09,0.05595639656,0.054,0.0,0.0,0.02959360574883687,0.8799367501633095,2.0307045688058418e-07,0.0,0.0,0.06598663145800668,0.0,0.0001262805746287393,1.1028653847095805e-06,3.55639768040421e-06,1.0826993507485864e-05,1.4386831011596235e-06,1.4363598112181862e-08,1.6646973756975983e-09
1.0147827350988218e-09,0.05595639656,0.054,0.0,0.0,0.029592020718231814,0.8799360159097646,2.1002007742857838e-07,0.0,0.0,0.06598651547763508,0.0,0.00012774192284911747,1.1004892436154244e-06,3.5638904444552924e-06,1.0933341419592588e-05,1.4506917017505445e-06,1.4533041214755294e-08,1.7045032947182517e-09
