Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25)
3.450146760806184e-09,0.05595639656,0.054,0.0,0.0,0.029274268777684256,0.8797848569422541,3.867144681331745e-06,2.1728725857844884e-10,2.9323299019219207e-17,0.06596633360906064,0.0,0.0004263114994085029,1.3739164075791863e-06,2.5290743132313047e-06,2.7995228067311712e-05,3.957429434855073e-06,3.005314026111923e-08,7.404774989324856e-09,2.6894554191213257e-07,1.4525748763337029e-08,5.548773690702966e-08,2.1171374282315675e-10
3.4732432646131205e-09,0.05595639656,0.054,0.0,0.0,0.02927132285956416,0.8797834389507517,3.913664183481169e-06,2.250486888586932e-10,3.0101680258348746e-17,0.0659661657633593,0.0,0.0004290994043112729,1.3776548920972292e-06,2.518861048028027e-06,2.8122375083561967e-05,3.9890966690812755e-06,3.0115990923534415e-08,7.436406079578409e-09,2.7274592423933333e-07,1.4827571085563734e-08,5.665003272460328e-08,2.1818523999504495e-10
3.496339768420057e-09,0.05595639656,0.054,0.0,0.0,0.029268377896448157,0.8797820212468774,3.9603362264921e-06,2.3304679707705086e-10,3.089632344839904e-17,0.06596599825101487,0.0,0.00043188655871244353,1.3813622733449184e-06,2.5087726149299655e-06,2.82490196272833e-05,4.0209037348390904e-06,3.017867737995485e-08,7.468023307934899e-09,2.7658300309895795e-07,1.513406712981791e-08,5.783053728161074e-08,2.248242465389702e-10
3.5194362722269933e-09,0.05595639656,0.054,0.0,0.0,0.02926543388944601,0.8797806038305088,4.007160911684153e-06,2.412876940791122e-10,3.1707482612247356e-17,0.06596583107110918,0.0,0.0004346729625243463,1.38503868411414e-06,2.4988070336670496e-06,2.8375163620664047e-05,4.052849122949886e-06,3.024120476234279e-08,7.499628743593284e-09,2.804569071759015e-07,1.544528189253676e-08,5.9029430034276945e-08,2.31634283646579e-10
3.5425327760339297e-09,0.05595639656,0.054,0.0,0.0,0.029262490839684515,0.8797791867015229,4.054138349053695e-06,2.497776187274524e-10,3.2535414264796675e-17,0.06596566422272526,0.0,0.00043745861565146145,1.3886842799907503e-06,2.4889623171903954e-06,2.8500808967357008e-05,4.08493132071588e-06,3.0303577638655555e-08,7.531224197471077e-09,2.8436776255493203e-07,1.5761260386736538e-08,6.024689057725454e-08,2.386189234640662e-10
3.565629279840866e-09,0.05595639656,0.054,0.0,0.0,0.029259548748300692,0.8797777698597969,4.101268655713798e-06,2.585229397440099e-10,3.338037741482791e-17,0.06596549770494657,0.0,0.00044024351799193845,1.392299237597379e-06,2.479236475768924e-06,2.8625957554009898e-05,4.1171488132707785e-06,3.0365800051365585e-08,7.56281123828395e-09,2.8831569276252364e-07,1.6082047639654324e-08,6.14830986343836e-08,2.457817893136928e-10
3.5887257836478025e-09,0.05595639656,0.054,0.0,0.0,0.02925660761643546,0.8797763533052081,4.1485519544420804e-06,2.675301575603422e-10,3.424263356672549e-17,0.06596533151685552,0.0,0.0004430276694390078,1.3958837529020575e-06,2.469627520777599e-06,2.875061125170601e-05,4.1495000848507935e-06,3.0427875554377e-08,7.594391208095215e-09,2.9230081880787085e-07,1.6407688690433318e-08,6.273823404962233e-08,2.531265559105218e-10
3.611822287454739e-09,0.05595639656,0.054,0.0,0.0,0.02925366744522788,0.8797749370376333,4.195988372332141e-06,2.7680590617558734e-10,3.5122446722078224e-17,0.06596516565753273,0.0,0.00044581106988229077,1.399438039593626e-06,2.4601334681903044e-06,2.8874771917317492e-05,4.181983619987874e-06,3.0489807248342144e-08,7.62596523732114e-09,2.963232592229915e-07,1.673822858784968e-08,6.401247677815204e-08,2.60656949574323e-10
3.6349187912616753e-09,0.05595639656,0.054,0.0,0.0,0.029250728235809768,0.8797735210569495,4.243578039544376e-06,2.86356955021955e-10,3.602008338115757e-17,0.06596500012605624,0.0,0.00044859371920901044,1.4029623275245402e-06,2.450752341790385e-06,2.8998441394773426e-05,4.214597904627218e-06,3.0551597814387115e-08,7.657534259182753e-09,3.00383130101868e-07,1.7073712388076346e-08,6.53060068776391e-08,2.683767484366059e-10
3.6580152950686117e-09,0.05595639656,0.054,0.0,0.0,0.029247789989300877,0.8797721053630339,4.291321088151814e-06,2.961902108375704e-10,3.6935812544275414e-17,0.06596483492150053,0.0,0.0004513756173051088,1.4064568612213897e-06,2.4414821761118325e-06,2.912162151624534e-05,4.247341427171202e-06,3.061324954626119e-08,7.689099023597051e-09,3.044805451385965e-07,1.7414185152477083e-08,6.66190044996195e-08,2.762897826427346e-10
