Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49)
1.664828448877819e-11,0.05595639656,0.054,0.0,0.0,0.029733855414155984,0.8799989450774999,0.0,0.0,0.0,0.06599947943408697,0.0,2.10984500046034e-06,3.4036816542412494e-07,3.41466365413254e-07,1.796486476013504e-07,5.490999945645127e-10
1.7390536821964383e-11,0.05595639656,0.054,0.0,0.0,0.029733723526323613,0.879998898049438,0.0,0.0,0.0,0.06599945653448701,0.0,2.203901124391602e-06,3.551484143894009e-07,3.563984738876676e-07,1.8769206884700832e-07,6.250297491333628e-10
1.8132789155150575e-11,0.05595639656,0.054,0.0,0.0,0.02973359171557711,0.8799988510217954,0.0,0.0,0.0,0.065999433673761,0.0,2.2979564091458324e-06,3.698781330786993e-07,3.712932096269911e-07,1.9574056764130045e-07,7.075382741458308e-10
1.8875041488336767e-11,0.05595639656,0.054,0.0,0.0,0.029733459984782162,0.8799988039945725,0.0,0.0,0.0,0.06599941085334246,0.0,2.392010855223528e-06,3.845553909872847e-07,3.8614913994066545e-07,2.0379439208864242e-07,7.968744766902923e-10
1.961729382152296e-11,0.05595639656,0.054,0.0,0.0,0.02973332833676712,0.8799987569677686,0.0,0.0,0.0,0.0659993880746462,0.0,2.486064463143437e-06,3.9917828388438284e-07,4.0096485081641967e-07,2.1185378644955048e-07,8.932834660183697e-10
2.035954615470915e-11,0.05595639656,0.054,0.0,0.0,0.02973319677432212,0.8799987099413834,0.0,0.0,0.0,0.06599936533906803,0.0,2.5801172334420583e-06,4.137449344383163e-07,4.1573894736783267e-07,2.1991899105315046e-07,9.970064647581466e-10
2.1844050821081533e-11,0.05595639656,0.054,0.0,0.0,0.029732933917103507,0.8799986158898684,0.0,0.0,0.0,0.06599932000274966,0.0,2.768220263408579e-06,4.427021393476008e-07,4.451568176304992e-07,2.360677718459662e-07,1.2273391414491176e-09
2.3180105020816676e-11,0.05595639656,0.054,0.0,0.0,0.029732697665420693,0.8799985312449343,0.0,0.0,0.0,0.06599927936111702,0.0,2.937510131449286e-06,4.68553022721554e-07,4.7147699973012075e-07,2.5062387177800576e-07,1.4619885042832926e-09
2.451615922055182e-11,0.05595639656,0.054,0.0,0.0,0.029732461732503927,0.8799984466013526,0.0,0.0,0.0,0.06599923887995898,0.0,3.1067972947233663e-06,4.941938019920912e-07,4.976415952250612e-07,2.652023423913496e-07,1.7238966164849767e-09
2.585221342028696e-11,0.05595639656,0.054,0.0,0.0,0.029732226133094116,0.8799983619591216,0.0,0.0,0.0,0.06599919856665137,0.0,3.276081756967135e-06,5.196146051464721e-07,5.236432351604385e-07,2.7980442847942263e-07,2.0143150069831416e-09
2.7188267620022104e-11,0.05595639656,0.054,0.0,0.0,0.029731990881448272,0.879998277318239,0.0,0.0,0.0,0.06599915842832811,0.0,3.4453635220822635e-06,5.448059001028547e-07,5.494747926529976e-07,2.944313254937679e-07,2.334446275071373e-09
2.8524321819757247e-11,0.05595639656,0.054,0.0,0.0,0.02973175599132495,0.879998192678703,0.0,0.0,0.0,0.06599911847187437,0.0,3.614642594129747e-06,5.697585047676046e-07,5.751293901605163e-07,3.09084178166655e-07,2.6854426964557687e-09
2.986037601949239e-11,0.05595639656,0.054,0.0,0.0,0.02973152147597064,0.8799981080405114,0.0,0.0,0.0,0.0659990787039194,0.0,3.7839189773240697e-06,5.944635964472302e-07,6.006004063044478e-07,3.2376407923261257e-07,3.068404928608841e-09
3.1196430219227536e-11,0.05595639656,0.054,0.0,0.0,0.02973128734810746,0.8799980234036622,0.0,0.0,0.0,0.06599903913083059,0.0,3.953192676027387e-06,6.189127202367572e-07,6.258814819759959e-07,3.384720683034901e-07,3.4843808696192288e-09
3.253248441896268e-11,0.05595639656,0.054,0.0,0.0,0.029731053619922475,0.8799979387681528,0.0,0.0,0.0,0.06599899975870804,0.0,4.122463694743616e-06,6.430977963707186e-07,6.50966525715726e-07,3.532091308992468e-07,3.934364672503532e-09
3.386853861869782e-11,0.05595639656,0.054,0.0,0.0,0.029730820303058524,0.8799978541339811,0.0,0.0,0.0,0.06599896059338001,0.0,4.2917320381123135e-06,6.670111263822907e-07,6.758497182561477e-07,3.6797619765678984e-07,4.419295936928377e-09
3.5204592818432964e-11,0.05595639656,0.054,0.0,0.0,0.029730587408606755,0.8799977695011447,0.0,0.0,0.0,0.06599892164039904,0.0,4.46099771090239e-06,6.90645398155195e-07,7.005255162868851e-07,3.8277414370418695e-07,4.94005906584499e-09
3.654064701816811e-11,0.05595639656,0.054,0.0,0.0,0.029730354947100492,0.8799976848696411,0.0,0.0,0.0,0.06599888290503908,0.0,4.630260718005733e-06,7.139936899237725e-07,7.249886554811378e-07,3.9760378819166936e-07,5.4974827786825055e-09
3.787670121790325e-11,0.05595639656,0.054,0.0,0.0,0.02973012292851061,0.8799976002394678,0.0,0.0,0.0,0.06599884439229295,0.0,4.799521064430829e-06,7.370494732669606e-07,7.492341528152605e-07,4.1246589397232047e-07,6.092339774149781e-09
3.921275541763839e-11,0.05595639656,0.054,0.0,0.0,0.029729891362242335,0.8799975156106224,0.0,0.0,0.0,0.06599880610687091,0.0,4.968778755296357e-06,7.598066150913329e-07,7.732573081772388e-07,4.2736116743276357e-07,6.7253465429528524e-09
4.0548809617373535e-11,0.05595639656,0.054,0.0,0.0,0.029729660257133368,0.8799974309831022,0.0,0.0,0.0,0.06599876805319957,0.0,5.1380337958247455e-06,7.822593786073339e-07,7.970537052661603e-07,4.4229025847285414e-07,7.3971633294130106e-09
4.188486381710868e-11,0.05595639656,0.054,0.0,0.0,0.029729429621453547,0.8799973463569045,0.0,0.0,0.0,0.0659987302354218,0.0,5.3072861913357024e-06,8.044024233213816e-07,8.206192117979091e-07,4.572537606306322e-07,8.108394238263597e-09
4.322091801684382e-11,0.05595639656,0.054,0.0,0.0,0.02972919946290568,0.8799972617320266,0.0,0.0,0.0,0.06599869265739707,0.0,5.476535947239735e-06,8.262308040845173e-07,8.439499790450957e-07,4.722522113461204e-07,8.859587480288953e-09
4.4556972216578964e-11,0.05595639656,0.054,0.0,0.0,0.029728969788627754,0.8799971771084657,0.0,0.0,0.0,0.06599865532270263,0.0,5.645783069031714e-06,8.477399692386531e-07,8.670424407394613e-07,4.872860923574992e-07,9.651235750403917e-09
4.5893026416314107e-11,0.05595639656,0.054,0.0,0.0,0.029728740605196372,0.8799970924862189,0.0,0.0,0.0,0.06599861823463513,0.0,5.815027562284447e-06,8.68925757897112e-07,8.898933113618966e-07,5.023558302238266e-07,1.048377673239209e-08
4.722908061604925e-11,0.05595639656,0.054,0.0,0.0,0.029728511918631295,0.8799970078652838,0.0,0.0,0.0,0.06599858139621288,0.0,5.984269432642311e-06,8.897843963944544e-07,9.124995838439756e-07,5.174617969687313e-07,1.1357593724760501e-08
4.856513481578439e-11,0.05595639656,0.054,0.0,0.0,0.02972828373440119,0.8799969232456573,0.0,0.0,0.0,0.06599854481017883,0.0,6.153508685814958e-06,9.103124939442294e-07,9.348585267075057e-07,5.326043108389738e-07,1.2273016381637984e-08
4.9901189015519535e-11,0.05595639656,0.054,0.0,0.0,0.02972805605743035,0.8799968386273362,0.0,0.0,0.0,0.0659985084790037,0.0,6.322745327571056e-06,9.305070375478185e-07,9.56967680671805e-07,5.477836371711145e-07,1.3230321561993312e-08
5.123724321525468e-11,0.05595639656,0.054,0.0,0.0,0.029727828892106546,0.8799967540103182,0.0,0.0,0.0,0.06599847240489015,0.0,6.491979363732151e-06,9.503653861999923e-07,9.788248547601896e-07,5.629999893591703e-07,1.4229734280098715e-08
5.257329741498982e-11,0.05595639656,0.054,0.0,0.0,0.029727602242289663,0.8799966693946001,0.0,0.0,0.0,0.06599843658977689,0.0,6.661210800166587e-06,9.698852644370787e-07,1.0004281219373502e-06,5.782535299161251e-07,1.527142875013569e-08
5.3909351614724964e-11,0.05595639656,0.054,0.0,0.0,0.029727376111321365,0.8799965847801787,0.0,0.0,0.0,0.06599840103534359,0.0,6.830439642783567e-06,9.890647552734035e-07,1.0217758143091705e-06,5.935443716221966e-07,1.635552951788348e-08
5.5245405814460106e-11,0.05595639656,0.054,0.0,0.0,0.02972715050203543,0.8799965001670512,0.0,0.0,0.0,0.06599836574301599,0.0,6.999665897527293e-06,1.0079022925719679e-06,1.0428665179167736e-06,6.088725787527506e-07,1.748211267240277e-08
5.658146001419525e-11,0.05595639656,0.054,0.0,0.0,0.029726925416768944,0.8799964155552148,0.0,0.0,0.0,0.06599833071397158,0.0,7.168889570371262e-06,1.0263966528959662e-06,1.0636990671570717e-06,6.242381683786733e-07,1.8651207130552545e-08
5.791751421393039e-11,0.05595639656,0.054,0.0,0.0,0.029726700857374094,0.8799963309446663,0.0,0.0,0.0,0.06599829594914539,0.0,7.338110667312663e-06,1.0445469468880664e-06,1.084272538862365e-06,6.396411117319815e-07,1.98627959871493e-08
5.925356841366553e-11,0.05595639656,0.054,0.0,0.0,0.029726476825230663,0.8799962463354029,0.0,0.0,0.0,0.0659982614492362,0.0,7.507329194366937e-06,1.0623526102241514e-06,1.1045862460714219e-06,6.55081335629517e-07,2.111681792363511e-08
